10.786 PHY<<== 004,  14 : ~
10.843 PHY==>> 051,  e1 00 e1 00 00 00 00 01 00 e7 eb f9 00 e7 eb f9 00 e7 03 e7 03 00 00 00 ff 00 00 00 00 00 00 00 00 00 00 00 00 00 13 00 b 00 00 00 00 00 00 ] b8 ~
10.844 PHY<<== 009, \ 01 00 c2 01 00 a4 + ~
10.847 PHY==>> 010, 13 \ 01 00 c2 01 00 fc M ~
10.847 PHY<<== 004, 00 x f0 ~
10.859 PHY==>> 058, 00 A p r   2 6   2 0 1 3 1 8 : 2 4 : 0 3 M a r   2 8   2 0 1 3 0 9 : 0 0 : 0 0 A C E F W T A Z * 	 ff d 00 01 07 A 02 b9 ~
10.860 PHY<<== 032, & G 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.860 PHY<<== 032, 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.864 PHY<<== 032, 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.868 PHY<<== 032, 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.872 PHY<<== 008, 00 00 00 00 00 7f aa ~
10.883 PHY==>> 064, & G 00 Z R F 6 5 0 0 00 / n v / 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.884 PHY==>> 064, 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.884 PHY==>> 008, 00 00 00 00 00 99 ec ~
10.885 PHY<<== 004, 00 x f0 ~
10.895 PHY==>> 058, 00 A p r   2 6   2 0 1 3 1 8 : 2 4 : 0 3 M a r   2 8   2 0 1 3 0 9 : 0 0 : 0 0 A C E F W T A Z * 	 ff d 00 01 07 A 02 b9 ~
10.896 PHY<<== 004, 01 f1 e1 ~
10.903 PHY==>> 008, 01 00 00 00 00 3 c4 ~
10.903 PHY<<== 004, Q t b3 ~
10.911 PHY==>> 064, Q K 00 86 # 00 00 00 00 80 00 00 00 12 02 00 0 00   80 02 10   83    00 00 00 00 01 00 00 00 00 00 00 08 
 00 P 8e d0 b7 88 1 A 04 9f c9 9 c8 fd ff 	 c0 fb 04 c6 e3 ; 10 $ 80
10.912 PHY==>> 017, 10 08 , 00 00   00 00 00 00 00 00 00   8d " ~
10.912 PHY<<== 004, ?  9 ~
10.919 PHY==>> 007, ? 8e 00 00 " 1e ~
10.920 PHY<<== 032, & G 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.920 PHY<<== 032, 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.924 PHY<<== 032, 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.928 PHY<<== 032, 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.932 PHY<<== 008, 00 00 00 00 00 7f aa ~
10.943 PHY==>> 064, & G 00 Z R F 6 5 0 0 00 / n v / 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.944 PHY==>> 064, 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
10.944 PHY==>> 008, 00 00 00 00 00 99 ec ~
10.944 PHY<<== 004, | 93 I ~
10.951 PHY==>> 042, | 02 00 00 00 10 t ` e6 0f 00 00 M 9 6 1 5 A - C E F W T A Z M - 4 . 0 . 1 7 0 6 2 00 00 C % ~
10.952 PHY<<== 008, K 12 T 00 01 e B ~
10.955 PHY==>> 009, 13 K 12 T 00 01 P 4 ~
10.956 PHY<<== 025, K 13  00 n v / r e g _ f i l e s / c o n f 00 a1 bd ~
10.963 PHY==>> 015, K 13  00 00 00 00 00 02 00 00 00 | 11 ~
10.964 PHY<<== 017, K 12 S 00 01 08 aa O ad 99 f2 06 18 B f5 bc ~
10.967 PHY==>> 018, 13 K 12 S 00 01 08 aa O ad 99 f2 06 18 B 88 S ~
10.967 PHY<<== 026, K 13  00 n v / i t e m _ f i l e s / c o n f 00 7f f5 ~
10.975 PHY==>> 015, K 13  00 01 00 00 00 00 00 00 00 b5 a9 ~
10.976 PHY<<== 015, K 13  00 01 00 00 00 01 00 00 00 fb q ~
10.983 PHY==>> 056, K 13  00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 
 04 00 00 80 = d5 12 80 = d5 12 80 = d5 12 c g p s _ m e . c o n f 00 / | ~
10.984 PHY<<== 015, K 13  00 01 00 00 00 02 00 00 00 6 T ~
10.991 PHY==>> 061, K 13  00 01 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 87 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 c g p s _ p d c o m m s . c o n f 00 J 88 ~
10.995 PHY<<== 015, K 13  00 01 00 00 00 03 00 00 00 8d H ~
11.003 PHY==>> 056, K 13  00 01 00 00 00 03 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 d3 01 00 00 80 = d5 12 80 = d5 12 80 = d5 12 c g p s _ s m . c o n f 00 4 x ~
11.004 PHY<<== 015, K 13  00 01 00 00 00 04 00 00 00 ac 1f ~
11.011 PHY==>> 061, K 13  00 01 00 00 00 04 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 c6 02 00 00 80 = d5 12 80 = d5 12 80 = d5 12 c g p s _ t l e _ t l m . c o n f 00 b4 06 ~
11.012 PHY<<== 015, K 13  00 01 00 00 00 05 00 00 00 17 03 ~
11.019 PHY==>> 061, K 13  00 01 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 d 04 00 00 80 = d5 12 80 = d5 12 80 = d5 12 c g p s _ t l e _ x t m . c o n f 00 d8 A ~
11.020 PHY<<== 015, K 13  00 01 00 00 00 06 00 00 00 da & ~
11.027 PHY==>> 064, K 13  00 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 85  00 00 80 = d5 12 80 = d5 12 80 = d5 12 d a t a _ c o n f i g _ i n f o . c o n f 00 0 e
11.028 PHY==>> 001, ~
11.028 PHY<<== 015, K 13  00 01 00 00 00 07 00 00 00 a : ~
11.035 PHY==>> 053, K 13  00 01 00 00 00 07 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 4 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 d i a g . c o n f 00 + O ~
11.036 PHY<<== 015, K 13  00 01 00 00 00 08 00 00 00 98 88 ~
11.047 PHY==>> 057, K 13  00 01 00 00 00 08 00 00 00 00 00 00 00 0f 00 00 00 ff e1 00 00 ( 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d n t _ e r r 0 . c o n f 00 . ed ~
11.048 PHY<<== 015, K 13  00 01 00 00 00 	 00 00 00 # 94 ~
11.055 PHY==>> 057, K 13  00 01 00 00 00 	 00 00 00 00 00 00 00 0f 00 00 00 ff e1 00 00 5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d n t _ e r r 1 . c o n f 00 9 N ~
11.056 PHY<<== 015, K 13  00 01 00 00 00 
 00 00 00 ee b1 ~
11.063 PHY==>> 057, K 13  00 01 00 00 00 
 00 00 00 00 00 00 00 0f 00 00 00 ff e1 00 00 2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d n t _ e r r 2 . c o n f 00 5 9d ~
11.064 PHY<<== 015, K 13  00 01 00 00 00  00 00 00 U ad ~
11.071 PHY==>> 054, K 13  00 01 00 00 00  00 00 00 00 00 00 00 00 00 00 00 	 83 00 00 & 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 e c a l l . c o n f 00 fd O ~
11.072 PHY<<== 015, K 13  00 01 00 00 00  00 00 00 t fa ~
11.079 PHY==>> 058, K 13  00 01 00 00 00  00 00 00 00 00 00 00 0f 00 00 00 ff e1 00 00 0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f 3 _ t r a c e 0 . c o n f 00 = ab ~
11.080 PHY<<== 015, K 13  00 01 00 00 00  00 00 00 cf e6 ~
11.087 PHY==>> 058, K 13  00 01 00 00 00  00 00 00 00 00 00 00 0f 00 00 00 ff e1 00 00 / 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f 3 _ t r a c e 1 . c o n f 00 b3 S ~
11.088 PHY<<== 015, K 13  00 01 00 00 00 0e 00 00 00 02 c3 ~
